,text,label
0,pengen pasang dm ya guys,0
1,min kalo pasang gak ya takutnya berbulan,2
2,tolong rek bayarku larang ho bendino mbrebet cok,2
3,restart otaknya kk,2
4,kalo putus nyambung wkwk,2
5,keren banget,0
6,nonton tayangan seru hilangkan bosan care minipack indimovie nemenin nonto,0
7,bagi-bagi kuota internet keluarga pakai smooa by dapet kuota gb be,0
8,ya mas,2
9,konsep torrent sharing data aja gua kaga paham udah nft mending reset modem speedy eh aja,2
10,vidio lancarrr jaya,0
11,kangen temen-temen gak ketemu tenang virtual meeting pakai mengobati rindu ketawa ketiwi bareng temen semoga pandemi yah,0
12,pasang rp ribu promo berlaku maret nikmati koneksi internet stabil mbps rp rb/bln bonus yuk pasang jatim wa --,0
13,yg ngadain acara bareng temen tp males rumah mending zoom meeting nobar film pastiin km uda pake biar klo share screen sinyal oke gak putus nobar puass seruu,0
14,semangat yg wfh wfo awali secangkir teh hangat syukur pakai bantu aktivitas online mudah lakukan aktivitas batas,0
15,nih rekomendasi drakor viu tinggal streaming drakor viu tv hemat kouta nonton lancar,0
16,internet lancar saham lancar jaya,0
17,bangun bangun jd anak,2
18,lg dirumah (,2
19,pakai wfh asik internetan lancar min,0
20,fuvk,2
21,plajar sd-sma yg brada d klimntan yuk ikutan kompetisi generasi prestasi dijamin gak rugi udah pinter berhadiah daftar,0
22,debut roback ac milan streaming asik lelet,2
23,sih elahhhh,2
24,halo bantu restart jaringan darisana ga sih jujur cape banget sabar mulu ngadepin no internet,2
25,isi twit keluh kesah doang dibikinin novel keluh kesah,2
26,internet mati nyala mulu sekalinya nyala lemot udah telp iya bantu restart pusat tetep aja kaga perubahan mbps brodiiiiiiii paketnya kasih lemot mulu mati mati mulu kudu restart,2
27,selesai tugasnya seharian dibantu,0
28,jelek bener dah koneksinya,2
29,lemot bgt,2
30,kngn nongkrong sore bareng tmen warung bikin mie kek warung upnormal gtu makannya puter lagu dr youtube pake yg lancar koneksinya biar gk jeda live music jd dirumah serasa cafe,0
31,tayangan pilihan keluarga dirumah,0
32,kenapaaa tolong,2
33,coba tpi ku ga support max p,2
34,hadeehhhh goblok,2
35,min tv gak berlangganan stb,2
36,biznet/myrep gw ajg keren bgt wifinya,2
37,mantap emng,2
38,tagihan listrik pln tagihan tagihan pam setahun,2
39,jalan ditengah malam nyaman istirahat ditempat wi-fi ankpn aja bebas internetan pake yg signalnya tiada lawan,0
40,puas nonton netflix nya via tidur,2
41,berhenti berlangganan tolong,2
42,biar suka mati mas mas benerin cepet banget datengnya trus ramah gabisa marah,2
43,jaringannya busuk siiee,2
44,gorengan terdepan nyaman internetan seharian,0
45,sobat senang banget layanan kakak normal selamat menikmati layanan -nya ya oh ya apresiasinya dimention/feed,0
46,buah semangka buah duren nyangka internetan make emang keren,0
47,ngapa bgt engga connect ye internet gw malem,2
