text,label
pengen pasang dm ya guys,positive
min kalo pasang gak ya takutnya berbulan,negative
tolong rek bayarku larang ho bendino mbrebet cok,negative
restart otaknya kk,negative
kalo putus nyambung wkwk,negative
keren banget,positive
nonton tayangan seru hilangkan bosan care minipack indimovie nemenin nonto,positive
bagi-bagi kuota internet keluarga pakai smooa by dapet kuota gb be,positive
ya mas,negative
konsep torrent sharing data aja gua kaga paham udah nft mending reset modem speedy eh aja,negative
vidio lancarrr jaya,positive
kangen temen-temen gak ketemu tenang virtual meeting pakai mengobati rindu ketawa ketiwi bareng temen semoga pandemi yah,positive
pasang rp ribu promo berlaku maret nikmati koneksi internet stabil mbps rp rb/bln bonus yuk pasang jatim wa --,positive
yg ngadain acara bareng temen tp males rumah mending zoom meeting nobar film pastiin km uda pake biar klo share screen sinyal oke gak putus nobar puass seruu,positive
semangat yg wfh wfo awali secangkir teh hangat syukur pakai bantu aktivitas online mudah lakukan aktivitas batas,positive
nih rekomendasi drakor viu tinggal streaming drakor viu tv hemat kouta nonton lancar,positive
internet lancar saham lancar jaya,positive
bangun bangun jd anak,negative
lg dirumah (,negative
pakai wfh asik internetan lancar min,positive
fuvk,negative
plajar sd-sma yg brada d klimntan yuk ikutan kompetisi generasi prestasi dijamin gak rugi udah pinter berhadiah daftar,positive
debut roback ac milan streaming asik lelet,negative
sih elahhhh,negative
halo bantu restart jaringan darisana ga sih jujur cape banget sabar mulu ngadepin no internet,negative
isi twit keluh kesah doang dibikinin novel keluh kesah,negative
internet mati nyala mulu sekalinya nyala lemot udah telp iya bantu restart pusat tetep aja kaga perubahan mbps brodiiiiiiii paketnya kasih lemot mulu mati mati mulu kudu restart,negative
selesai tugasnya seharian dibantu,positive
jelek bener dah koneksinya,negative
lemot bgt,negative
kngn nongkrong sore bareng tmen warung bikin mie kek warung upnormal gtu makannya puter lagu dr youtube pake yg lancar koneksinya biar gk jeda live music jd dirumah serasa cafe,positive
tayangan pilihan keluarga dirumah,positive
kenapaaa tolong,negative
coba tpi ku ga support max p,negative
hadeehhhh goblok,negative
min tv gak berlangganan stb,negative
biznet/myrep gw ajg keren bgt wifinya,negative
mantap emng,negative
tagihan listrik pln tagihan tagihan pam setahun,negative
jalan ditengah malam nyaman istirahat ditempat wi-fi ankpn aja bebas internetan pake yg signalnya tiada lawan,positive
puas nonton netflix nya via tidur,negative
berhenti berlangganan tolong,negative
biar suka mati mas mas benerin cepet banget datengnya trus ramah gabisa marah,negative
jaringannya busuk siiee,negative
gorengan terdepan nyaman internetan seharian,positive
sobat senang banget layanan kakak normal selamat menikmati layanan -nya ya oh ya apresiasinya dimention/feed,positive
buah semangka buah duren nyangka internetan make emang keren,positive
ngapa bgt engga connect ye internet gw malem,negative
kupu-kupu berwarna biru terbang melayang mencari madu internetan pake ragu mengejar cita-cita,positive
hola sobat mimind mantap nih pelajar pengajar dosen jurnalis pake,positive
semangat kerjaan numpuk ya kawan bersyukur ikhlas kunci yg kerjakan berkah in,negative
pasang wifi lokasi tercover jaringan tenang sob modem mengguna,positive
semangat selasa sih kayak jadiin alesan mager yah bikin kerjaan beres,positive
bingung ganti password internet ah udah ga jaman nih tips ganti password internet ont zte,negative
apasi anjing jam segini merah,negative
streaming pake yutub ajaa laaah,positive
kamus pintar seputar check,positive
ngopi indah indah mengunakan yam yam,positive
yuk cek info,positive
blm selesai ak denger tp lemot,negative
anak rumah rumahan barbie klo beli mahal banget cari bikinnya aja pake biat hemat,positive
tv kabel prepet tp nya jerniiih,positive
ingetin aja niiih kalo skg udah indonesia tanggal tua hemat yuk nikmatin tanggal tua rumah nonton drakor pake,positive
duh ketinggalan tp menang - tp untung lihat playback,positive
min kalo pasang gak ya,positive
berkerja ngopi mantab upload kerjaan internet mantab,positive
malem malem tidur untung nemenin dengerin lagu favorite,positive
